"item-pic src","item-title","item-desc","item-meta","item-meta href","item-meta 2","item-meta 3"
"https://oss-shjbh.saas.coolgua.com/20260521/e71a3d3b721545a98cdf1aad708890ea.jpg","Dongguan Kaimo Home Furnishings Manufacturing Co., Ltd","COOMO, founded in 2003, is headquartered in Houjie, Dongguan, known as the ""furniture capital"" of China. It boasts 13 large-scale modern factories, including 5A-grade garden factories, covering an area of over 800,000 square meters. The company has been awarded the ""Zhan Tianyou Prize"" and possesses multiple advanced production lines imported from Germany, Italy, and other countries. COOMO owns brands such as ""COOMO, DOPO, NAAT, PUSU, L&K, DOSOO, C&C, and XD"", and has established COOMOHOME, a global fashionable home life buyer service platform. Today, its products are exported to Europe, America, Southeast Asia, the Middle East, and other parts of the world. As a company that integrates manufacturing, business operations, and technological research and development, COOMO places great emphasis on design and independent research and development. It currently holds over 2,000 national patents and is a nationally renowned trademark.","https://www.coomo99.com","https://www.coomo99.com/","4.1","A05"
"https://oss-shjbh.saas.coolgua.com/20260605/d4c3c36921b34c12bfba5295b175ec82.jpg","UE FURNITURE CO., LTD","Founded in 2001, we master the technologies related to ergonomics and pioneer global healthy seating solutions.As the 1st listed company in China's chair industry, we are a national high-tech enterprise integrating innovative R&D, intelligent manufacturing, and global sales.With a registered capital of over 30 million dollars, we have 6 production bases globally and more than 7,000 employees.Our products range spans the healthy seating system industry, including office chairs, height adjustable tables, massage chairs, sofas, etc.UE ergonomic chairs have led global sales for 3 consecutive years while shipping to over 82 countries","https://www.uechairs.com","https://www.uechairs.com/","6.1","B59"
"https://oss-shjbh.saas.coolgua.com/20260521/80355d04e5344487a4b21c100f559dc2.png","FOSHAN SHUNDE HIGOLD FURNITURE MANUFACTURING CO., LTD.","Higold outdoor furniture was founded in 2006, adhering to an original design philosophy, skillfully combines metal and outdoor furniture, integrates eastern and western aesthetics, and is committed to providing unparalleled and extraordinary experience for users all over the world. As a global high-end brand, Higold outdoor furniture has leading innovation and R & D strength in the industry. Products have won Red Dot Design Award, IF design award, Pinnacle award, China Red Star Design Award and other awards at home and abroad. Higold outdoor furniture's innovative design and quality product have always been highly favored in the market. Sales network spans across all five continents, with products sold in over 90 countries and regions worldwide.","https://www.higoldgroup.com/","https://www.higoldgroup.com/","1.1","A30"
"https://oss-shjbh.saas.coolgua.com/20260605/3822ebeb839144d3b57c84f16016338c.png","Shanghai Future Youth Home Furnishings Co., Ltd.","LINSY , a global home furniture brand since 2007, is thoughtfully designed for the way people live today. It creates furniture that balances comfort, functionality, and timeless style for homes around the world. LINSY is chosen by over 13 million homes from more than 95 countries and regions worldwide, and loved for the way it fits real life.","https://www.linsygroup.cn/Relation_we.html","https://www.linsygroup.cn/Relation_we.html","3.1","A06"
"https://oss-shjbh.saas.coolgua.com/20260521/1aafc58ca7e34214b9ba1a9ec600f20a.JPG","可木","COSMO MOBILI, a home furnishing brand established in 2018 in Beijing, has its headquarters and production base in Qufu, Shandong. As a comprehensive home furnishing brand driven by design, COSMO MOBILI integrates design, R&D, production, and sales. With a garden-style smart manufacturing factory spanning over 50,000 square meters and an independent original design center, it aligns with international cutting-edge perspectives. Currently, it has established over 40 cooperative experiential stores across China, specializing in providing one-stop whole-space living solutions for urban households.","https://www.cosmomobili.com","https://www.cosmomobili.com/","4.1","B08"
"https://oss-shjbh.saas.coolgua.com/20260511/d12806f615f648128aac1f9bb64a2250.jpg","Guangdong Lihua Leyu Furniture Co., Ltd","Located in Jiangmen, Guangdong, Lihua group is a comprehensive enterprise that integrates import and export trade, customized projects and domestic trade. For 40 years since the establishment in 1985, we have been focusing on the development, design, production and sales of simple and stylish furniture.Regardless of the downs as well as the ups in the development of business, until now we have built 2 major manufacturing bases: Lihua Industrial Co., Ltd., Guangdong Lihua Leyu Furniture Co., Ltd., and Lihua Furniture Co., Ltd., which cover an area of around 230,000 square meters and have nearly 1,800 employees.""serve with love, create together"" is Lihua's corporate philosophy. We will keep on providing high-quality products and rigorous service to achieve a better future with our partners together.","https://www.jmlihua.com","https://www.jmlihua.com/","5.1","C20"
"https://oss-shjbh.saas.coolgua.com/20260513/7f4e84922b4a46188d15db7153effb54.png","HENGLIN","Henglin Home Furnishings Co., Ltd. was established in 1998 and listedon the A-share main board in 2017. It is a group company that integrates research and development, production, and sales of office chairs,sofas, massage chairs, and other seating and furniture, and is a national high-tech enterprise. The company currently has over 10000 globalemployees and covers an area of 1.55 million square meters.","https://www.henglin.com","https://www.henglin.com/","6.1","B69"
"https://oss-shjbh.saas.coolgua.com/20260508/0d6834c3e7284b678080bae4e5dc78b7.png","GUANGDONG SHUNDE FURICCO FURNITURE CO., LTD.","Guangdong Shunde Fukai Furniture Co., Ltd. was established in 2004, focusing on the design, manufacturing, and sales of high-end office chairs. In terms of product research and development, process accumulation, channel construction, and market reputation, it has become a leader in segmented fields. We are well aware of the core requirements of office furniture for user comfort and spatial adaptability. From raw material selection to design and development, from production and manufacturing to after-sales service, we strive for excellence in every aspect, striving to make every office chair practical, durable, and aesthetically pleasing. We continuously integrate high-quality industry resources, optimize the supply chain system, and hone our core technical team, gradually forming a core competitiveness of ""personalized design, standardized production, and refined service"".","https://www.furicco.com","https://www.furicco.com/","6.1","A60"
"https://oss-shjbh.saas.coolgua.com/20260508/2c7cf56dcb1d4cb99c21a4a59c0684cf.jpg","Fasadi","FASADI was founded in 2020 by a group of young entrepreneurs, mostly born after 1995. With the mission of 'breaking tradition and overturning imagination,' they focus on the home furnishing needs of China's new generation. The brand rejects flashy premiums and aims to 'allow young people to live better through extreme cost-performance.' It deeply integrates innovative design, strict quality control, and affordable prices, redefining the standard of 'good furniture.' On October 1, 2025, FASADI officially announced Sha Yi as the brand ambassador. It ranks among the top 10 home furniture brands on Tmall, Douyin, and JD.com.","https://fashadi.tmall.com/","https://fashadi.tmall.com/","3.1","B08"
"https://oss-shjbh.saas.coolgua.com/20260511/c051704c3b974c7f9d5b3df4dc720e22.jpg","Langfang Parcino furniture","河北省霸州市最大的家具生产企业，主营餐桌，餐椅，休闲椅。销售的主要市场是欧洲，东南亚，韩国各地","https://www.yongshengjj.com","https://www.yongshengjj.com/","5.1","5.1C03"
"https://oss-shjbh.saas.coolgua.com/20260605/ed31bebe78e140149f667601ff274491.jpg","Foshan Yie Huang Furniture Co., Ltd.","Foshan Yieh Huang Furniture Co., Ltd., founded in 2011, has been dedicated to producing various plastic components and plastic seating ever since its inception. It has thrived in the intense market competition. The company covers an area of 30,000 square meters, with a warehouse space of 20,000 square meters. It operates two production workshops, a production base of 8,000 square meters, and employs 45 advanced intelligent production machines and a variety of professionals. Today, the company has become a large-scale furniture enterprise that integrates R&D design, manufacturing, sales, commercial services, engineering services, and educational services. We adhere to strict selection criteria, cutting-edge design, leading technological processes, intelligent production, and professional management, as well as digital warehousing and dedicated delivery services. Our business covers various fields such as schools, enterprises, training, offices, and more.","https://yehuangfurniture.com","https://yehuangfurniture.com/","6.1","B55"
"https://oss-shjbh.saas.coolgua.com/20260521/507b9cb9183b44938cd9b419aa5fec7c.jpg","Wenzhou Jijia Furniture.co.Ltd","Tikahome, founded in 2002 under its predecessor name ""Divany"", is headquartered in Wenzhou, Zhejiang Province. As a pioneer brand of contemporary Chinese furniture, Tikahome has been dedicated to the realm of contemporary minimalist furniture since its inception. Adhering to the philosophy of ""Space of Personality"" or, in the Chinese context, ""空间赋格"" (Space Resonance), the brand has consistently focused for over two decades on creating objects for its clients that manifest individuality, integrate harmoniously with living spaces, and provide enduring emotional value within the simplicity of daily life.","https://www.tikahome.cn","https://www.tikahome.cn/","4.1","A18"
"https://oss-shjbh.saas.coolgua.com/20260508/d054671e5c7a43589a491feb121cb712.jpg","BAZHOU PENGFAN FURNITURE CO. LTD","Baizhou Taige Furniture Co., Ltd. was established in 2016. It has provided services to more than 100 listed companies. The company covers an area of over 100,000 square meters and has advanced equipment and multiple production lines. The R&D and design team has nearly 20 members, the sales team has over 50 elite members, the quality inspection team has over 20 members, and the professional technical development team has over 20 members. The total team size exceeds 500 people. The company's customers are spread all over the world, and its products are exported to Germany, the Netherlands, Switzerland, France, Sweden, Russia, Italy, Dubai, Saudi Arabia,  and other countries, and Panama are widely loved by customers. It has obtained certifications such as FSC and BSCI, and its quality standards are highly trusted by customers.","https://www.ciff-sh.com","https://www.ciff-sh.com/","5.1","B62"
