company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,,HKTDC Events,supplier_url,exhibitor_url,Brand Name,Certificates,Other Certificates,Verified Certificates,Booth: 1A-B02   |   Smart Lighting Products & Solutions   |   Smart Ecosystem and IoT Supply Chain Area,Booth: 1B-C02   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Company Website,Booth: 1A-B22   |   Smart Lighting Products & Solutions   |   Smart Ecosystem and IoT Supply Chain Area,Booth: 1B-B12   |   Smart Lighting Products & Solutions   |   Shenzhen-SZSA Smart Lighting Pavilion,Booth: 1A-E08   |   Connected Lighting Technologies   |   ,Booth: 1B-E08   |   Smart Lighting Products & Solutions   |   Zhongshan,Booth: 1B-D23   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-A05   |   Connected Lighting Technologies   |   Cantonese Business Go Global,Booth: 1B-A15   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-C31   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-F40   |   Smart Lighting Products & Solutions   |   ,Booth: 1B-B18   |   Smart Lighting Products & Solutions   |   Shenzhen-SZSA Smart Lighting Pavilion,Booth: 1B-C22   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global
Ningbo Energylux Optoelectronics Technology Co Ltd,Chinese Mainland,infrared motion sensor mircowave sensor photocell sensor light,Manufacturer,"Sensor Light,Indoor Lighting","infrared motion sensor mircowave sensor photocell,sensor light","ODM, OBM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2020 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Energylux-Optoelectronics-Technology-Co-Ltd/1X08S0BP,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JFU3,,,,,,,,,,,,,,,,,,
"Guangdong OML Technology Co., Ltd.",Chinese Mainland,OML Technology co.Ltd was founded in 2004 in Guangdong province and became one of the most formidable manufacturers in LED strip production. Professional and technical skills assisted by rich experience to produce a wide variety of high voltage and low voltage LED strip lighting.,Manufacturer,"Lighting Accessories & Lamp Parts,Architectural Lighting,Indoor Lighting,Lighting Distribution System,Building Exterior Lighting System",Professional and technical skills assisted by rich experience to produce a wide variety of high voltage and low voltage LED strip lighting.,"Others, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-OML-Technology-Co-Ltd/1X05Y2R3,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K34L,OML,,ISO Issued By - Type - Valid Date (N/A) - (N/A) SGS Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,
Jiangsu Shenghui Optoelectronic Co Ltd,Chinese Mainland,,"Buying Office, Distributor, Export Agent, Chain Store, Buying Cooperative","Sensor Light,Street Light,Indoor Lighting,Industrial Lighting",投光灯、面板灯、三防灯、路灯、高棚灯,"ODM, OEM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/JIANGSU-SHENGHUI-OPTOELECTRONIC-CO-LTD-/1S00O6PD8,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JFV0,,,,Quality Management System Certificate Issued By China Quality Certification Centre Valid Date 23 Oct 2026 Environmental Management System Certificate Issued By China Quality Certification Centre Valid Date 22 Oct 2026 Show More,,,,,,,,,,,,,,
"Shenzhen Goldenlux Co., Ltd",Chinese Mainland,,"Manufacturer, Wholesaler","Lighting Accessories & Lamp Parts,LED Bulb,Home Automation System,Power Management System","LED lighting and accessories, LED power supply, LED solar energy lighting, smart home","OEM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 Home InStyle 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Goldenlux-Co-Ltd/1X0AECBP,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JFZO,,,,,,,,,,,,,,,,,,
"UP-Shine Lighting Co.,Limited",Chinese Mainland,"Founded in 2010, as a leading LED indoor lighting manufacturer, UPSHINE has built a goodreputation at home and aboard with top quality product, advanced lighting solution and cheerfulafter-sales services. UPSHINE devotes itself in researching, developing and manufacturing a fullrange of lighting products with most cost-effective solution. We've committed to improvingourselves paying more attention to customer demand, focusing on making people's life more safeand comfortable, enabling them to enjoy new technology and efficient use of resources. Covers anarea of 11000 square meters,UPSHINE is growing very fast as a medium sized enterprise. Withclear marketing orientation, sustained technical innovation and internationally-updatedmanagement philosophy, UPSHINE must be a great choice as your reliable long-term partner, youcan count on us to provide all possible lighting service.","Manufacturer, Exporter","Indoor Lighting,Home Automation System,Building Exterior Lighting System","1, ODM & OEM service 2, Best Possible Price 3, Technical Support 4, Marketing Documentary Support 5, Great financial support 6, Fast delivery 7, Free-tooling & Design support 8, Cheerful after-sale service","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC International Sourcing Show 2021 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Upshine-Lighting-Co-Ltd-/1X088Q5P,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005J8MY,,,,,,,,,,,,,,,,,,
"Hangzhou Sky-Lighting Co., Ltd.",Chinese Mainland,"Products are exported to Europe, America, southeast Asia, the Middle East and more than 40 countries and regions such as Hong Kong, Macao and Taiwan. Our Annual sales reach 100 million US dollars. We have nine light source products and varieties of lighting system, can fully meet the various requirements in various fields of work and life. We are the crown member of TUYA since 2018.",Manufacturer,"Residential Lighting, Edison Bulb, LED Bulb, Smart Living, Lighting Accessories & Lamp Parts, Energy Efficiency Equipment, Lighting Design & Engineering, Lighting Design Software",Smart Light,Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Smart Lighting Expo 2024 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Sky-Lighting-Co-Ltd/1X00JWC0,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005ILXO,,,ISO9001 Issued By - Type - Valid Date (N/A) - (N/A),,,,,,,,,,,,,,,
"Foshan Nanhai Mercanvee Lighting Co., Ltd.",Chinese Mainland,"Established in 1996, our factory is located in Danzao Town, Foshan City of Guangdong province, where is one of the main production center of commercial lighting across China. We have been providing OEM service to numerous industry-leading brands all over the world since 1996 and we always try our best to keep the spirit of constantly striving for excellence and technological innovation. In order to meet the development needs of the LED lighting market, our own brand ""MERCANVEE"" was established in 2011. Bearing the company philosophy of ""Optical, Technology, Charming"" in mind, MERCANVEE have become a modern enterprise integrating research, development, production and sales of high-end LED lighting products. Dedicated to technological innovation, MERCANVEE always try to fuse elements like energy-saving, chromatology, optics, aesthetics, architecture, history, humanities, commerce, environment, physics, psychology, physiology, life, etc. into the lighting science. And by doing so, we are able to provide more professional and more responsible lighting products and optical solutions for our customers. MERCANVEE, your professional lighting provider for all architectures.",Manufacturer,"Decorative Lamp,Indoor Lighting,Entertainment Lighting,Retail Lighting,Home Automation System,Lighting Design & Engineering","Mercanvee provides a wide range of indoor professional LED products with intelligent control options including downlights, spotlights and track lights. Suitable for various projects such as hotels, commercial spaces, museums, offices and mansions.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Nanhai-Mercanvee-Lighting-Co-Ltd/1S00OTL6X,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KZZ4,MERCANVEE,,,,,,,,,,,,,,,,,
"Zhongshan Wanju Lighting Technology Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter",Indoor Lighting,"Commercial lighting incl low voltage system, track light; Residential lighting incl ceiling light, light bar etc; ceiling fans.","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2021 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Wanju-Lighting-Technology-Co-Ltd/1S00OJA68,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KY1Z,,,BKC-171203143C Issued By - Type - Valid Date (N/A) - (N/A),,,,,,,,,,,,,,,
"Mynice Optoelectronics Co., Ltd",Chinese Mainland,"Mynice optoelectronics co., LTD is a high-tech enterprise, which is committed to the developmentproduction, sales and service of LED advertisement signage light box lighting, LED light stripslinear lighting and LED prop display lighting. It is the leader of China LED advertisement signagelight box lighting and LED strips with linear lighting, The company established at 2006 currentlyowns Shenzhen Mynice headquarters factory, Dongguan Mynice branch factory, and Myniceoverseas factory in Yangon, Myanmar. A total of 32,000 square meters of standardized workshopand more than 800 skiled production staff. At present, the company has two brands including""Mynice"" LED signage light box lighting, LED prop display lighting and ""Younice"" LED strip linearlighting. Products mainly cover the business scope: LED signage light box lighting, LED lights withlinear lighting, LED props display lighting, LED power supply and other fields. Nowadays, it is oneof the largest and most professional companies in China.","Exporter, Manufacturer","Decorative Lamp,Architectural Lighting,LED Bulb,Indoor Lighting,Retail Lighting","LED strip lighting, LED module, LED linear lighting, LED neon flex, professional lighting, OEM/ODM services","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 Home InStyle 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mynice-Optoelectronics-Co-Limited/1X07KL54,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IP6T,"MYNICE,YOUNICE",,,,,,,,,,,,,,,,,
Shenzhen HuaDian Lighting co.. Ltd,Chinese Mainland,,"Manufacturer, Exporter","Sensor Light,Edison Bulb,Light Dimmer,LED Bulb,Indoor Lighting,Emergency & Professional Lighting,Solar Lights,Home Automation System",led lighting,OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Huadian-Lighting-Co-Ltd/1X087WLR,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KUP3,,,led sports light -etl Issued By - Type - Valid Date (N/A) - (N/A) LED SPORTS LIGHT-EMC Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,
