company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Verified Certificates,supplier_url,exhibitor_url,Other Certificates,Company Website,Booth: 1C-E28   |   Hall of Aurora   |   ,Booth: 3C-C02   |   Commercial Lighting   |   ,Booth: 1C-B02   |   Hall of Aurora   |   ,Booth: 1E-A20   |   Hall of Aurora   |   ,Booth: 1D-D30   |   Hall of Aurora   |   ,Booth: 1E-B14   |   Hall of Aurora   |   ,Booth: 1C-B14   |   Hall of Aurora   |   ,Booth: 1C-E29   |   Hall of Aurora   |   ,Booth: 1D-B15   |   Hall of Aurora   |   ,Booth: 1E-B18   |   Hall of Aurora   |   ,Booth: 3D-E24   |   Residential Lighting   |   ,Booth: 3D-E06   |   Residential Lighting   |   ,Booth: 3C-F18   |   Technical Lighting   |   Mainland China (Guangdong) - Lighting,Booth: 3C-E22   |   Commercial Lighting   |   ,Booth: 3C-B16   |   Commercial Lighting   |   Mainland China (Guangdong) - Lighting,Booth: 3D-B19   |   Technical Lighting   |   ,Booth: 3D-C20   |   Residential Lighting   |   Mainland China (Guangdong) - Lighting,Booth: 3E-F07   |   Lighting Accessories   |   ,Booth: 3E-A04   |   Decorative Lighting   |   
"Xusheng Lighting Co., Ltd.",Hong Kong    |    Factory in Chinese Mainland,Xushenglighting is a factory engaged in commercial lights with over 10 years experience in R&D and assembly,"Wholesaler, Manufacturer, Exporter","Ceiling Light,Wall Lamp,Chandelier,Spotlight,Downlight,Track Light,LED Lighting","Commercial Lights, Magnetic Lights, Smart System","OEM, ODM, OBM",XS,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),,Trademark Issued By Trademark Office of the State Administration for Industry and Commerce of the People's Republic of China Valid Date 06 Nov 2033 CE Issued By TÜV SÜD Product Service GmbH Valid Date (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xusheng-Lighting-Co-Ltd-/1S00O6NVS,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICQI,,,,,,,,,,,,,,,,,,,,,
Foshan Ronse Lighting Technology Co Ltd,Chinese Mainland    |    Factory in Chinese Mainland,"Founded in 2010,RONSE lighting manufactures high quality of LED track light and down light etc.lighting products in Foshan city,Guangdong.",Manufacturer,"Spotlight,Downlight,Track Light,Office Lighting,Retail Lighting","Services -Lighting products development, manufacture lighting engineering -Customized lighting services -OEM, ODM, SKD of empty housing. -Flexible payment term for long term cooperation. -Designated stock products for short delivery.","ODM, OEM",RONSE,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2020 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 Show More,,"ISO 9001 Issued By Amtivo China Limited Valid Date 18 Oct 2027 CE Issued By Zhiyuan Testing (Shenzhen) Co., Ltd Valid Date (N/A) Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/FOSHAN-RONSE-LIGHTING-TECHNOLOGY-CO-LTD/1X07L884,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K9PO,"CE, RoHS, TUV ,SAA , BIS ,ISO,CCC Issued By - Type - Valid Date (N/A) - (N/A) CE Issued By - Type - Valid Date (N/A) - (N/A) Show More",,,,,,,,,,,,,,,,,,,,
"Hangzhou Yuzhong Gaohong Lighting Electrical Equipment Co., Ltd.",Chinese Mainland,,"Export Agent, Distributor, Buying Cooperative, Exporter","Spotlight,Sensor Light,Track Light,PAR Bulb,LED Lighting,LED Bulb,Tunnel Light,Indoor Lighting","We have obtained ISO9000 certification, ISO14000 certification. We have CNAS certificated laboratory.",ODM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) Home InStyle 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Yuzhong-Gaohong-Lighting-Electrical-Equipment-Co-/1X00ERL6,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005JZPY,ISO9001 Issued By - Type - Valid Date (N/A) - (N/A) ISO14001 Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,,,,,,
"Ucome Lighting Co., Ltd.",Chinese Mainland,"Ningbo UCOME Lighting Company is a professional production, manufacture and sales of outdoor lighting of the export enterprises with annual sales break 12 million U.S. dollars, the company formerly more than 20 years of history, there are die-casting, renovation, spraying, CNC, polishing , assembly plant, currently employs 180 people, have a professional technical team, but also with the famous European designers to develop new products, the company has started to registered the patent with some new products in the United Kingdom.",Manufacturer,Indoor Lighting,Aluminium indoor and outdoor lamp.,"OEM, ODM",UCOME,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) Home InStyle 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ucome-Lighting-Co-Ltd-/1S00OYFPI,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005KXB6,,,,,,,,,,,,,,,,,,,,,
"Shaoxing Shangyu Mingji Plastic Co., Ltd.",Chinese Mainland,"The company founded in 2006, specialized in LED Emergency Exit Sign / Lights, the products are exported to North America, Middle East, South America. All the products are UL approved.",Manufacturer,"Emergency & Professional Lighting, Exit Light","LED Emergency Exit Sign and Lights Manufacturer, the products are exported to North America, South America, Middle East. All the products are UL approved.",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2022 (Autumn Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Shangyu-Mingji-Plastic-Co-Ltd-/1S00O4EWY,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K06I,,WWW.MINGJILIGHTINGS.COM,,,,,,,,,,,,,,,,,,,
"Ningbo Yaado Lighting Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"We specialize in creating variety of decorative and functional LED lighting solutions, including LED tube lamp, LED solar lamps, LED Cabinet lights, LED smart lights etc. We have full range of certificates, including CE/ROHS, EPR, Reach, BSCI, etc. We can supply OEM & ODM service.","Wholesaler, Exporter, Manufacturer","Lawn Light, Chandelier, Floor Lamp, Garden Light, Table Lamp","LED Table Lamp, LED Cabinet Lamp, LED Solar Lamp, OEM & ODM","OEM, ODM",yaado,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Yaado-Lighting-Co-Ltd/1S00OKYEW,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005JTGV,,www.yaadolighting.com,,,,,,,,,,,,,,,,,,,
"Shanghai Wellmax Lighting Industry Co.,Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Wellmax Lighting is a leading lighting company that focuses on the innovation and manufacture of LED bulbs. We were founded in 1987, and now a top exporter of LED bulbs in Shanghai.","Manufacturer, Exporter","Sensor Light,PAR Bulb,LED Bulb,Outdoor Floodlight,Indoor Lighting,Solar Lights",LED bulb experts,"ODM, OEM",WELLMAX,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2020 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanghai-Wellmax-Lighting-Industry-Co-Ltd/1X06U839,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K03R,,,,,,,,,,,,,,,,,,,,,
Evermore Enterprise (Zhejiang) Ltd,Chinese Mainland,,"Export Agent, Manufacturer","String Light, Strip Light, Decorative Lamp, Christmas Light, LED Lighting, Contemporary Light",Decoration Light,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Evermore-Enterprise-Zhejiang-Ltd/1X06DQL9,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0TL,,www.evermorelight.com,,,,,,,,,,,,,,,,,,,
Kte Electrical Limited,Hong Kong,"We Leaves LED Lighting company establish in 2008, and we located in GUZHEN, Zhongshan, which is called LIGHTING CITY. Our main purpose is promoted environment business, and we have advanced LED technology. We play to our strengths to match the sign of the times, and we want to present a unique pursuit of life. When the lamp is still shining as before, it will no longer be an ordinary lighting role, but a ray of sunshine embellishing your life, an attitude towards life, and a reverence for nature. The spirit of craftsmen is a virtue of Chinese traditional culture, energy conservation and environmental protection are the concept advocated by the times. With the original intention and following the concept, Leaves LED Lighting has brought the technology of DIY (do it yourself) mixed into the lamp. In the lighting industry, DIY concept technology is an unprecedented concept, Leaves LED lighting will take this technology to stand on a new track to lead the way.","Manufacturer, Exporter","Camping Light,Spotlight,Track Light,Lighting Fixture,LED Lighting,Outdoor Floodlight,Indoor Lighting,Contemporary Light,Office Lighting",Creative low-voltage module lamp with independent invention patent,"ODM, OEM","KTE,LEAVES",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2022 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2020 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KTE-ELECTRICAL-LIMITED/1X00JF9I,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICT9,"ISO9001 Issued By Guangdong Quality Testing CTC Certification Co., Ltd. Type - Valid Date (N/A) - (N/A) UL Issued By UL Type - Valid Date (N/A) - (N/A) Show More",,,,,,,,,,,,,,,,,,,,
"Zhuhai Shengchang Electronics Co., Limited",Hong Kong,"Shengchang (SCPOWER) specializes in R&D and manufacturing intelligent dimmable LED driver, non-dimmable LED driver and LED controller based on science and technology in its early days. After years of striving, Shengchang has formed competitive strength in the field of intelligent dimmable LED driver and become a leader in China by offering LED driver with the widest range of wattage & full-lined series, the most models, and the most authoritative certificates in this aspect of mainstream dimmable LED driver, which includes TRIAC/Phase-cut, DALI-2, 0/1-10V, Push, DMX512, ZigBee/ Bluetooth/ Wi-Fi wireless dimming, etc, CV & CC 10W-1800W for indoor and outdoor dimming. Shengchang's dimmable drivers have been well received by customers in all over the world. Nowadays, with UL,cUL,ETL, cETL,FCC,ICES,ENEC,TUV,CE,CB,SAA,CCC,DALI-2,RoHS, ISO 9001 and other certificates. Shengchang's products have been exported to numerous oversea markets such as North America, Europe, Australia, Southeast Asia, South America and so on. Advanced manufacturing equipments, promise the high capacity up to 300,000 pieces products per month. Shengchang's intelligent dimmable and non-dimmable LED drivers have been recognized in all over the world. Moreover, quite a few projects for government or business",Manufacturer,"LED Bulb, Mood Lighting, Spotlight, LED Driver, Office Lighting, LED Panel Light, LED Lighting, Light Dimmer, Downlight, Indoor Lighting","10W-1800W intelligent dimmable LED driver and controller for outdoor lighting & indoor lighting, includes DALI-2, DMX512, Triac/ Phase/ ELV/MLV, 0/1-10V, ZigBee/BLE/Wi-Fi wireless Dimmable LED Driver. With UL,cUL,FCC,ENEC,TUV,CE,CB,SAA,CCC,RoHs,REACH","ODM, OBM, OEM","SURETRON,SCPOWER",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2021 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhuhai-Shengchang-Electronics-Co-Limited/1X07HL18,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICRF,UL Issued By UL Type - Valid Date (N/A) - (N/A) FCC Issued By UL Type - Valid Date (N/A) - (N/A) Show More,www.scpower.net.cn/en,,,,,,,,,,,,,,,,,,,
