company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
Memorigin Watch Company Limited,Hong Kong,"Manufacturer, Wholesaler, Retailer","Skeleton Mechanical Watch, Ladies Watch, Designer Watch, Mens Watch, Brandname Watch","Being the first Hong Kong brand that specializes in tourbillon watches, Memorigin integrates marvelous oriental arts and top western watchmaking skills to produce tourbillon watches with prominent cultural features.",OBM,Memorigin,www.memorigin.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 ""Think Business, Think Hong Kong"" Product Expo in Bangkok, Thailand HKTDC Hong Kong Gifts & Premium Fair 2023 Show More",,,world-class excellence Issued By Japan watch testing center - Watch Repair Master Type - Valid Date (N/A) - 18 Mar 2015,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Memorigin-Watch-Co-Ltd/1X07U2Q4?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NIDF?fairCode=hkwatchfair&locale=en,
"Hong Kong Airufo Watch Industrial Co., Ltd.",Hong Kong,"Manufacturer, Professional Association","Watch Dial, Watch Buckle, Chronograph Watch, Sports Timer Watch, Mens Watch, Chronograph Watch, Metal Watch Case, 24 Hour Dial Mechanical Watch, Pilot Watch, Diver Watch, Metal Watch Band, Moon Phase Mechanical Watch, Sports Timer Watch, Moon Phase Mechanical Watch, Table Clock, 24 Hour Dial Mechanical Watch, Solar Watch, Watch Case, Mens Watch, Solar Watch, Diver Watch, Quartz Analogue Watch, Pilot Watch, Quartz Analogue Watch, Metal Box & Can","Diving/dress/pilot/moonphase/GMT watch,antimagnetic to 40000A/M /wandering hour,bronze/carbon/meteorite/crystal titanium/Damascus/Timascus/superlumicast/desk clock/OEM&ODM","ODM, OEM","metetime,airufo",www.aufowatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Airufo-Watch-Industrial-Co-Ltd/1X0AGV96?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MP6T?fairCode=hkwatchfair&locale=en,
"Carisen Industrial Co., Limited",Hong Kong,"Manufacturer, Exporter","Promotional Watch, Quartz Analogue Watch, Precious Metal Watch Band, Chronograph Watch, Watch Buckle, Designer Watch, Skeleton Mechanical Watch, Ladies Watch, Watch Spring Bar, Watch Glass, Solar Watch, Diver Watch, Fabric Watch Band, Mechanical Hands & Digital Watch, Watch Hand, Watch Movement, Pilot Watch, Brandname Watch, Mens Watch, Silicone Watch Band, Metal Watch Case, Watch Case, Rubber Watch Band, Watch Crown, Sports Timer Watch, Moon Phase Mechanical Watch, Watch Dial, 24 Hour Dial Mechanical Watch, Wall Clock, Metal Watch Band","Premium custom-made watches crafted for global brands. From design and prototyping to mass production, we deliver high-quality OEM & ODM solutions with precision, flexibility, and reliable service.","OEM, ODM","CARISEN,CARISENT",www.carisen.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017",,,CE certificate Issued By - Type - Valid Date (N/A) - (N/A) RoHS certificate Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Carisen-Industrial-Co-Limited/1X0A3TWP?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXHO?fairCode=hkwatchfair&locale=en,
Heromex Watch Company Limited,Hong Kong,Manufacturer,"Quartz Analogue Watch, Quartz Analogue Watch",Quartz and mechanical watches,"OEM, ODM",CAUGHT,caughtwatches.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024",,,Arcana Design Certification Issued By Hong Kong Design Registry Intellectual Property Department Type OTHERS Valid Date 17 Nov 2025 - 17 Nov 2030 Epoch Design Certification Issued By Hong Kong Designs Registry Intellectual Property Department Type OTHERS Valid Date 03 Jan 2025 - 03 Jan 2030 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heromex-Watch-Company-Limited/1X00DZHM?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N9TC?fairCode=hkwatchfair&locale=en,
"Guangdong Starking Intelligent Technology Co., Ltd",Chinese Mainland,"Chain Store, Export Agent, Buying Cooperative, Wholesaler, Manufacturer, Retailer, Professional Association, Others, Distributor, Shopping Mall, Exporter","Quartz Analogue Watch, Brandname Watch, Promotional Watch, Sports Timer Watch, Radio Control Watch, Chronograph Watch, Designer Watch, Pilot Watch, 24 Hour Dial Mechanical Watch, Solar Watch, Smart Watch, Ladies Watch, Skeleton Mechanical Watch, Mens Watch, Moon Phase Mechanical Watch, Diver Watch, Digital Watch, Mechanical Hands & Digital Watch, Jewelled-lever Automatic Watch, Bluetooth Smart Watch",watch/Automatic mechanical watch/Quartz watch/tourbillon,"OEM, Others, OBM, ODM","AJUT,STARKING",www.starkingwatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Starking-Intelligent-Technology-Co-Ltd/1S00OSKAM?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCT9?fairCode=hkwatchfair&locale=en,
"Dayton Industrial Co., Ltd.",Hong Kong,Manufacturer,"Kids Watch, Mens Watch, Digital Watch, Smart Watch, Ladies Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Chronograph Watch, Designer Watch, Brandname Watch, Bluetooth Smart Watch","Link2Care is an innovative collaborative alliance focused on developing a mass-manufacturable wireless ecosystem for wearable technology, enhancing interoperability and user experience in health and safety monitoring.","OEM, ODM, OBM",,www.dayton.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 CHILL 11 HKTDC Hong Kong Watch & Clock Fair 2023 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dayton-Industrial-Co-Ltd/1X0A3SDB?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OWWG?fairCode=hkwatchfair&locale=en,
Gifvinn Watch Co Limited,Hong Kong,"Manufacturer, Exporter","Mens Watch, Jewelled-lever Automatic Watch, Skeleton Mechanical Watch, Designer Watch, Brandname Watch",Watch design & manufacturing,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gifvinn-Watch-Co-Ltd/1X05H5UR?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N9RI?fairCode=hkwatchfair&locale=en,
"1 Heart Watch Industrial Co., Limited",Hong Kong,Manufacturer,"Promotional Watch, Jewelled-lever Automatic Watch, Mens Watch, Digital Watch, Sports Timer Watch, Ladies Watch, Diver Watch, Mechanical Hands & Digital Watch, Moon Phase Mechanical Watch, 24 Hour Dial Mechanical Watch, Quartz Analogue Watch, Skeleton Mechanical Watch, Chronograph Watch","Watches ODM/OEM,Stainless Steel Watches,Chronograph Watches,Multifunction Watches,Quartz Watches,Mechanical Watches,Sport Watches,Men Watches, Ladies' Watches,Couple's Watches,Diving Watches,Top Quality Watches,Diamond Watches,Wrist watches","ODM, OEM",CUSTOMER'S BRAND,www.1heartwatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,CE Issued By DEELAY Type - Valid Date (N/A) - (N/A) FCC Issued By DEELAY Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/1-Heart-Watch-Industrial-Co-Limited/1X0A3ULX?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MS7N?fairCode=hkwatchfair&locale=en,
3 Wells Watch Industries Ltd,Hong Kong,"Exporter, Manufacturer","Mens Watch, Ladies Watch, Diver Watch, Quartz Analogue Watch, Chronograph Watch","3 Wells Watch Industries Ltd. specializes in high quality stainless steel watches with an extensive range of designs and specifications including sports watches, fashion watches, jewellery watches and classic watches.",ODM,Corona,www.3wells.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,ISO 9001:2015 Issued By DNV GL Type ISO_9001 Valid Date 10 Feb 2021 - 19 Jul 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/3-Wells-Watch-Industries-Ltd/1X00IWUI?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXD0?fairCode=hkwatchfair&locale=en,"3 Wells Watch Industries Ltd. is principally engaged in the design and manufacture of watch products on ODM and OEM basis for watch manufacturers, brand owners and watch importers across the globe. With offices in Hong Kong, China and Germany, we are a high-end watch manufacturer that supply to many leading international and e-commerce watch brands in over 35 markets. We have over 38 years operating history since its inception in 1986 and employ a team of dedicated and experienced work force which designs, engineers, manufactures and delivers high quality watch products to our customers."
AWC International Limited,Hong Kong,Exporter,"24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Brandname Watch, Quartz Analogue Watch, Digital Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Brandname Watch, Quartz Analogue Watch, Digital Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Brandname Watch, Quartz Analogue Watch, Digital Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Brandname Watch, Quartz Analogue Watch, Digital Watch, Mens Watch","Our products are the leaders of the industry in ""BaselWorld Watch and Jewelry Fair & Hong Kong Watch Fair""",Others,"Quantum,Beverly Hills Polo Club,Slazenger,Lee Cooper",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/AWC-International-Limited/1X08NXVE?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MWVJ?fairCode=hkwatchfair&locale=en,
